브랜드,SKU ID,SKU 명,등록가,pid,iid,vid,url,플래그,메모
윰,62837565,윰스 심플 데스크 명함꽂이 카드홀더 스카이 2개,,,,,https://www.coupang.com/vp/products/8954872517?itemId=26197244911&vendorItemId=93176527811,1개 번들 중단,
윰,62900294,윰스 심플 데스크 명함꽂이 카드홀더 핑크 2개,,,,,https://www.coupang.com/vp/products/8955322987?itemId=26198906636&vendorItemId=93178160523,1개 번들 중단,
윰,62900295,윰스 심플 데스크 명함꽂이 카드홀더 아이보리 2개,,,,,https://www.coupang.com/vp/products/8955322979?itemId=26198906623&vendorItemId=93178160535,1개 번들 중단,
윰,66767530,윰스 DIY 뜨개질 핸드메이드 와펜 스티커 라벨 핑크+브라운 2종 총30개,,,,,https://www.coupang.com/vp/products/9181014894?itemId=27075507272&vendorItemId=94043806710,1개 번들 중단,
윰,10339787,윰스 마카롱컬러 이벤트풍선 100개입 혼합색상 1개,,,,,https://www.coupang.com/vp/products/227449634?itemId=720524237&vendorItemId=4823117906,5000원▽ 모니터링,
윰,34617557,윰스 팬싸템 동물 머리띠 고양이 1개,,,,,https://www.coupang.com/vp/products/7251154481?itemId=18445855290&vendorItemId=85586792551,5000원▽ 모니터링,
윰,34626480,윰스 생일파티 용품 공주 티아라 + 요술봉 + 악세서리 로즈 1세트,,,,,https://www.coupang.com/vp/products/7251630070?itemId=18447830892&vendorItemId=85588699346,5000원▽ 모니터링,
윰,42348688,윰스 선물포장 리본 상자 M 딥그린 5개,,,,,https://www.coupang.com/vp/products/7870352962?itemId=21498442368&vendorItemId=88552128056,5000원▽ 모니터링,
윰,42348695,윰스 선물포장 리본 상자 M 핑크 5개,,,,,https://www.coupang.com/vp/products/7870352962?itemId=21498442369&vendorItemId=88552128065,5000원▽ 모니터링,
윰,42486457,윰스 선물포장 리본 상자 딥그린 5개 S,,,,,https://www.coupang.com/vp/products/7881815689?itemId=21557048346&vendorItemId=88609635235,5000원▽ 모니터링,
윰,46655296,윰스 다꾸 종이 컷팅 재단기 A4 핑크 1개,,,,,https://www.coupang.com/vp/products/8120830776?itemId=23034863633&vendorItemId=90068615059,5000원▽ 모니터링,
윰,46655297,윰스 다꾸 종이 컷팅 재단기 A4 화이트 1개,,,,,https://www.coupang.com/vp/products/8120830778?itemId=23034863657&vendorItemId=90068615083,5000원▽ 모니터링,
윰,48072342,윰스 린넨 편지봉투 3P+편지지 10P+실링스티커 3P 1세트 화이트,,,,,https://www.coupang.com/vp/products/8200156262?itemId=23503179953&vendorItemId=90529606893,5000원▽ 모니터링,
윰,60943620,윰스 린넨 편지봉투 3P+편지지 10P+실링스티커 3P 1세트 일반 버건디,,,,,https://www.coupang.com/vp/products/8818859852?itemId=25699043519&vendorItemId=92688113507,5000원▽ 모니터링,
윰,60954833,윰스 린넨 편지봉투 3p + 편지지 10p + 실링스티커 3p 세트 일반 화이트 1세트,,,,,https://www.coupang.com/vp/products/8818859852?itemId=25699043519&vendorItemId=92688113507,5000원▽ 모니터링,
윰,62764022,윰스 간호사 팔찌 손목 메모지 블루 2개,,,,,https://www.coupang.com/vp/products/8949954562?itemId=26178814414&vendorItemId=93158437403,5000원▽ 모니터링,
윰,62764023,윰스 간호사 팔찌 손목 메모지 퍼플 2개,,,,,https://www.coupang.com/vp/products/8949954562?itemId=26178814417&vendorItemId=93158437419,5000원▽ 모니터링,
윰,62764024,윰스 간호사 팔찌 손목 메모지 베이지 2개,,,,,https://www.coupang.com/vp/products/8949954562?itemId=26178814420&vendorItemId=93158437433,5000원▽ 모니터링,
윰,63139221,윰스 남녀공용 성인 방수 미술 작업 양손 팔토시 네이비 2세트 37 x 18 cm,,,,,https://www.coupang.com/vp/products/8971799078?itemId=26258494090&vendorItemId=93236850793,5000원▽ 모니터링,
윰,66247266,윰스 비즈 팔찌 반지 만들기 입문용 세트 플로랄 혼합 1세트,,,,,https://www.coupang.com/vp/products/9153122515?itemId=26954481284&vendorItemId=93923532757,5000원▽ 모니터링,
